timestamp,action,src,dst,note
2025-09-22 19:59:05,rename,CM_yaound.jpg,CM_yaounde.jpg,Capital slug correction: yaound → yaounde
2025-09-22 19:59:08,rename,CO_bogot.jpg,CO_bogota.jpg,Capital slug correction: bogot → bogota
2025-09-22 20:08:58,flag_fallback,AG,assets/flags/ag.png,Flag fallback for Saint John's (Antigua and Barbuda)
2025-09-22 20:08:58,flag_fallback,BR,assets/flags/br.png,Flag fallback for Brasília (Brazil)
2025-09-22 20:08:58,flag_fallback,CR,assets/flags/cr.png,Flag fallback for San José (Costa Rica)
2025-09-22 20:08:58,flag_fallback,LK,assets/flags/lk.png,Flag fallback for Sri Jayawardenepura Kotte (Sri Lanka)
2025-09-22 20:08:58,flag_fallback,MD,assets/flags/md.png,Flag fallback for Chișinău (Moldova)
2025-09-22 20:08:58,flag_fallback,MV,assets/flags/mv.png,Flag fallback for Malé (Maldives)
2025-09-22 20:08:58,flag_fallback,PY,assets/flags/py.png,Flag fallback for Asunción (Paraguay)
2025-09-22 20:08:58,flag_fallback,ST,assets/flags/st.png,Flag fallback for São Tomé (São Tomé and Príncipe)
2025-09-22 20:08:58,flag_fallback,TD,assets/flags/td.png,Flag fallback for N'Djamena (Chad)
2025-09-22 20:08:58,flag_fallback,TG,assets/flags/tg.png,Flag fallback for Lomé (Togo)
2025-09-22 20:08:58,flag_fallback,TO,assets/flags/to.png,Flag fallback for Nuku'alofa (Tonga)
2025-09-22 20:08:58,flag_fallback,US,assets/flags/us.png,"Flag fallback for Washington, D.C. (United States)"
